Origin_Country,Age_Arrived,Sex,Years_as_Resident,Native_Language,Target_Language,Education_days,Enrolled_Coruse,Speaking,Written_Understanding
Iraq,36,Female,12,Arabic,English,4,47,494,0.595079
Libya,0,Male,32,Arabic,Monolingual,4,103,472,0.595079
Iraq,34,Male,2,Arabic,English,4,47,475,0.595079
Morocco,28,Male,1,Arabic,French,1,49,444,0.595079
Morocco,24,Female,3,Arabic,French,3,49,494,0.595079
Iraq,30,Male,2,Arabic,English,4,47,530,0.595079
Morocco,31,Male,10,Arabic,French,1,49,482,0.595079
Morocco,27,Male,14,Arabic,Monolingual,2,49,451,0.595079
Morocco,19,Male,1,Arabic,French,3,49,499,0.595079
Morocco,20,Male,7,Arabic,French,2,49,533,0.595079
Netherlands,20,Male,1,Arabic,English,2,118,527,0.595079
Morocco,26,Male,3,Arabic,French,3,49,429,0.595079
Lebanon,18,Female,2,Arabic,German,2,83,566,0.595079
Morocco,23,Male,1,Arabic,French,4,49,485,0.595079
Iraq,26,Male,3,Arabic,Monolingual,3,47,446,0.595079
Morocco,25,Male,3,Arabic,English,4,49,519,0.595079
Sudan,20,Male,3,Arabic,English,3,31,531,0.595079
Morocco,31,Male,1,Arabic,French,4,49,524,0.595079
Morocco,20,Female,2,Arabic,French,3,49,518,0.595079
Morocco,32,Female,2,Arabic,French,3,49,497,0.595079
Morocco,26,Male,3,Arabic,French,4,49,497,0.595079
Morocco,26,Male,2,Arabic,Spanish,3,49,394,0.595079
Morocco,34,Male,4,Arabic,French,4,49,449,0.595079
Morocco,23,Female,2,Arabic,French,3,49,509,0.595079
Iraq,22,Male,5,Arabic,English,4,47,510,0.595079
Israel,29,Male,1,Arabic,English,3,93,531,0.595079
Iraq,42,Female,3,Arabic,French,3,47,520,0.595079
Iraq,22,Female,3,Arabic,English,2,47,478,0.595079
Morocco,18,Female,12,Arabic,Arabic,2,49,513,0.595079
Morocco,23,Male,12,Arabic,French,3,49,576,0.595079
Morocco,26,Female,2,Arabic,French,3,49,489,0.595079
Morocco,24,Male,1,Arabic,English,3,49,499,0.595079
Sudan,26,Male,3,Arabic,Monolingual,1,31,479,0.595079
Lebanon,36,Female,3,Arabic,English,4,83,509,0.595079
Kuwait,19,Female,5,Arabic,English,2,95,516,0.595079
Morocco,29,Male,1,Arabic,Spanish,4,49,493,0.595079
Iran,23,Female,3,Arabic,Monolingual,3,77,522,0.595079
Israel,30,Male,1,Arabic,German,3,93,490,0.595079
Iraq,35,Male,3,Arabic,Kurdish,4,47,543,0.595079
Iraq,20,Male,3,Arabic,Persian,3,47,465,0.595079
Morocco,23,Female,1,Arabic,French,3,49,514,0.595079
Morocco,20,Male,1,Arabic,French,3,49,579,0.595079
Morocco,31,Male,4,Arabic,French,3,49,528,0.595079
Lebanon,16,Male,5,Arabic,English,3,83,550,0.595079
Lebanon,31,Female,1,Arabic,English,3,83,525,0.595079
Morocco,19,Male,1,Arabic,French,3,49,447,0.595079
Morocco,39,Female,1,Arabic,French,3,49,505,0.595079
Afghanistan,20,Female,8,Arabic,Russian,3,19,529,0.595079
Morocco,26,Female,1,Arabic,French,4,49,477,0.595079
Morocco,25,Male,1,Arabic,Monolingual,2,49,512,0.595079
Lebanon,17,Female,4,Arabic,Monolingual,1,83,486,0.595079
Lebanon,19,Male,2,Arabic,English,1,83,507,0.595079
Iraq,33,Female,9,Arabic,English,2,47,517,0.595079
Morocco,28,Male,1,Arabic,English,3,49,490,0.595079
Iraq,31,Male,2,Arabic,English,4,47,507,0.595079
Iraq,17,Female,2,Arabic,English,2,47,475,0.595079
Iraq,30,Male,3,Arabic,English,4,47,511,0.595079
Iraq,24,Male,16,Arabic,Persian,3,47,496,0.595079
Iraq,39,Male,2,Arabic,English,4,47,502,0.595079
Morocco,22,Female,1,Arabic,French,3,49,506,0.595079
Morocco,27,Male,3,Arabic,French,3,49,480,0.595079
Morocco,27,Male,2,Arabic,French,1,49,457,0.595079
Morocco,26,Male,2,Arabic,Tamazight,1,49,490,0.595079
Morocco,29,Male,1,Arabic,French,4,49,504,0.595079
Morocco,48,Male,6,Arabic,Tamazight,3,49,460,0.595079
Morocco,21,Male,9,Arabic,French,4,49,549,0.595079
Morocco,26,Male,1,Arabic,Monolingual,3,49,506,0.595079
Morocco,22,Male,2,Arabic,French,3,49,462,0.595079
Morocco,31,Female,2,Arabic,French,3,49,457,0.595079
Morocco,30,Male,8,Arabic,French,4,49,496,0.595079
Iraq,42,Female,2,Arabic,English,3,47,483,0.595079
Iraq,36,Male,2,Arabic,English,4,47,491,0.595079
Sudan,31,Female,2,Arabic,English,3,31,474,0.595079
Morocco,28,Male,6,Arabic,French,4,49,527,0.595079
Morocco,23,Male,4,Arabic,French,3,49,491,0.595079
Morocco,25,Male,3,Arabic,French,3,49,470,0.595079
Iraq,36,Male,2,Arabic,Romanian,4,47,509,0.595079
Iraq,28,Male,3,Arabic,English,1,47,493,0.595079
Sudan,34,Male,2,Arabic,English,1,31,492,0.595079
Iraq,56,Male,3,Arabic,French,4,47,438,0.595079
Morocco,27,Male,2,Arabic,English,3,49,471,0.595079
Lebanon,20,Female,0,Arabic,French,2,83,507,0.595079
Morocco,31,Male,2,Arabic,French,3,49,468,0.595079
Sudan,29,Male,5,Arabic,English,3,31,564,0.595079
Morocco,18,Male,15,Arabic,French,3,49,541,0.595079
Iraq,35,Female,9,Arabic,Persian,2,47,510,0.595079
Iraq,26,Male,2,Arabic,English,4,47,511,0.595079
Iraq,36,Male,3,Arabic,English,4,47,475,0.595079
Morocco,31,Male,4,Arabic,French,4,49,478,0.595079
Iraq,33,Male,3,Arabic,English,4,47,461,0.595079
Morocco,27,Male,2,Arabic,English,4,49,559,0.595079
Morocco,28,Male,13,Arabic,English,4,49,537,0.595079
Iraq,15,Female,4,Arabic,English,2,47,562,0.595079
Iraq,25,Male,4,Arabic,English,3,47,527,0.595079
Afghanistan,25,Female,4,Arabic,English,3,19,532,0.595079
Morocco,25,Female,3,Arabic,French,1,49,517,0.595079
Iraq,30,Male,3,Arabic,English,4,47,431,0.595079
Iraq,46,Male,3,Arabic,English,4,47,417,0.595079
Iraq,28,Male,6,Arabic,English,4,47,490,0.595079
Morocco,24,Male,1,Arabic,French,4,49,514,0.595079
Morocco,30,Male,14,Arabic,French,3,49,477,0.595079
Morocco,18,Female,1,Arabic,French,3,49,523,0.595079
Morocco,35,Male,8,Arabic,French,4,49,457,0.595079
Iraq,28,Male,2,Arabic,English,3,47,477,0.595079
Morocco,25,Male,6,Arabic,Monolingual,3,49,581,0.595079
Iraq,30,Female,2,Arabic,English,4,47,489,0.595079
Algeria,28,Female,1,Arabic,French,4,83,508,0.595079
Libya,37,Male,6,Arabic,English,4,103,486,0.595079
